"Brug af internet til private formål - procent af befolkningen (16-74"
"år) efter type, formål og tid"

" "," ","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012"
" ","Delt/udtrykt egne holdinger på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt sociale netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Taget online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt e-learning materiale",..,..,..,..,..,..,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",..,..,..,..,..,..,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",..,..,..,..,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",..,..,..,..,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",..,..,..,..,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",..,..,..,..,..,..,..,..,..,..,..
" ","Lytter til podcast uanset emne",..,..,..,..,..,..,..,..,..,..,..
"Socioøkonomisk status: Selvstændige"
" ","Sende/modtage e-mail",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om varer mv.",..,..,..,..,..,..,..,..,..,..,..
" ","Services ifm. rejser mv",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,..,..
" ","Læse/downloade nyheder",..,..,..,..,..,..,..,..,..,..,..
" ","Jobsøgning",..,..,..,..,..,..,..,..,..,..,..
" ","Søge helbredsmæssig information",..,..,..,..,..,..,..,..,..,..,..
" ","Internetbank",..,..,..,..,..,..,..,..,..,..,..
" ","Salg af varer/tjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,..,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt sociale netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Taget online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt e-learning materiale",..,..,..,..,..,..,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",..,..,..,..,..,..,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",..,..,..,..,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",..,..,..,..,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",..,..,..,..,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",..,..,..,..,..,..,..,..,..,..,..
" ","Lytter til podcast uanset emne",..,..,..,..,..,..,..,..,..,..,..
"Socioøkonomisk status: Udenfor erhverv"
" ","Sende/modtage e-mail",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om varer mv.",..,..,..,..,..,..,..,..,..,..,..
" ","Services ifm. rejser mv",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,..,..
" ","Læse/downloade nyheder",..,..,..,..,..,..,..,..,..,..,..
" ","Jobsøgning",..,..,..,..,..,..,..,..,..,..,..
" ","Søge helbredsmæssig information",..,..,..,..,..,..,..,..,..,..,..
" ","Internetbank",..,..,..,..,..,..,..,..,..,..,..
" ","Salg af varer/tjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,..,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt sociale netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Taget online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt e-learning materiale",..,..,..,..,..,..,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",..,..,..,..,..,..,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",..,..,..,..,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",..,..,..,..,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",..,..,..,..,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",..,..,..,..,..,..,..,..,..,..,..
" ","Lytter til podcast uanset emne",..,..,..,..,..,..,..,..,..,..,..
"Højeste fuldførte uddannelse: Grundskole"
" ","Sende/modtage e-mail",88,90,91,86,86,88,88,..,81,79,76
" ","Søge infomation om varer mv.",82,73,82,74,78,67,75,65,72,70,70
" ","Services ifm. rejser mv",..,..,..,..,..,44,48,49,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,40,..
" ","Læse/downloade nyheder",77,73,77,71,..,76,56,54,58,57,62
" ","Jobsøgning",..,28,..,29,..,25,..,..,..,23,..
" ","Søge helbredsmæssig information",62,64,62,54,58,54,53,56,..,41,..
" ","Internetbank",88,88,88,84,80,81,77,74,73,69,66
" ","Salg af varer/tjenester",24,28,24,17,24,25,26,28,21,20,19
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,39,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,5,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,50,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,80,77,79,81,75,72,75,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",30,27,30,36,35,38,37,37,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,51,53,57,60,55,55,55,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",21,23,..,19,..,23,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",11,9,..,12,..,12,..,..,..,..,..
" ","Brugt sociale netværkstjenester",78,79,81,77,74,72,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,18,..,..,..,..,..
" ","Taget online kursus",8,13,11,7,..,6,..,..,..,..,..
" ","Brugt e-learning materiale",30,24,34,..,..,12,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",18,..,26,16,..,12,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",47,..,55,47,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",69,..,70,65,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",80,84,83,72,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",66,63,63,52,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,31,17,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",17,..,14,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,7,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",11,..,13,..,..,8,..,..,..,..,..
" ","Lytter til podcast uanset emne",35,..,32,..,..,..,..,..,..,..,..
"Højeste fuldførte uddannelse: Ungdomsuddannelse"
" ","Sende/modtage e-mail",95,97,97,95,96,94,94,..,93,92,89
" ","Søge infomation om varer mv.",90,88,92,87,90,82,89,79,87,86,84
" ","Services ifm. rejser mv",..,..,..,..,..,59,68,68,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,48,..
" ","Læse/downloade nyheder",87,87,87,83,..,84,72,67,75,72,75
" ","Jobsøgning",..,34,..,36,..,22,..,..,..,22,..
" ","Søge helbredsmæssig information",69,76,72,68,65,64,66,66,..,58,..
" ","Internetbank",96,96,96,92,92,93,91,88,88,88,84
" ","Salg af varer/tjenester",33,36,33,30,32,28,37,38,28,26,27
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,39,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,6,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,52,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,93,91,92,91,91,89,88,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",38,39,39,46,48,53,56,54,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,71,69,77,74,74,75,71,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",18,19,..,17,..,22,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",11,12,..,13,..,12,..,..,..,..,..
" ","Brugt sociale netværkstjenester",85,86,85,80,78,75,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,29,..,..,..,..,..
" ","Taget online kursus",13,22,16,12,..,9,..,..,..,..,..
" ","Brugt e-learning materiale",32,30,35,..,..,13,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",18,..,19,12,..,11,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",47,..,58,51,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",77,..,74,70,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",87,88,87,76,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",70,70,68,53,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,38,23,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",17,..,16,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,8,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",9,..,14,..,..,7,..,..,..,..,..
" ","Lytter til podcast uanset emne",40,..,35,..,..,..,..,..,..,..,..
"Højeste fuldførte uddannelse: Videregående uddannelse"
" ","Sende/modtage e-mail",99,100,99,99,99,99,99,..,98,97,97
" ","Søge infomation om varer mv.",97,94,95,94,94,92,97,90,95,93,94
" ","Services ifm. rejser mv",..,..,..,..,..,76,84,84,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,56,..
" ","Læse/downloade nyheder",94,94,93,92,..,93,85,83,86,85,86
" ","Jobsøgning",..,48,..,48,..,25,..,..,..,23,..
" ","Søge helbredsmæssig information",82,85,83,81,78,79,78,80,..,70,..
" ","Internetbank",99,98,98,96,95,97,97,95,94,93,93
" ","Salg af varer/tjenester",38,38,36,36,33,35,44,47,27,24,26
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,46,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,9,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,76,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,97,96,97,96,97,97,96,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",49,49,49,60,54,67,71,69,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,80,81,88,84,87,87,85,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",19,21,..,24,..,28,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",18,17,..,21,..,18,..,..,..,..,..
" ","Brugt sociale netværkstjenester",91,91,89,87,85,83,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,49,..,..,..,..,..
" ","Taget online kursus",23,32,24,18,..,12,..,..,..,..,..
" ","Brugt e-learning materiale",48,46,49,..,..,19,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",30,..,25,16,..,15,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",56,..,67,60,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",86,..,83,80,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",94,93,92,85,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",84,86,80,67,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,37,29,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",20,..,20,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",14,..,10,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",7,..,11,..,..,6,..,..,..,..,..
" ","Lytter til podcast uanset emne",60,..,56,..,..,..,..,..,..,..,..
"Region Hovedstaden"
" ","Sende/modtage e-mail",96,97,97,95,94,96,95,..,93,92,90
" ","Søge infomation om varer mv.",92,89,90,86,89,83,89,81,88,87,86
" ","Services ifm. rejser mv",..,..,..,..,..,65,72,70,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,53,..
" ","Læse/downloade nyheder",90,90,88,85,..,87,74,72,77,75,80
" ","Jobsøgning",..,43,..,43,..,28,..,..,..,27,..
" ","Søge helbredsmæssig information",78,82,78,73,70,68,69,70,..,60,..
" ","Internetbank",95,95,96,92,90,93,90,86,89,87,84
" ","Salg af varer/tjenester",29,34,30,30,30,30,37,40,25,25,24
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,45,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,9,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,68,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,93,90,91,91,89,88,86,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",42,42,41,50,48,53,56,56,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,73,70,77,74,73,73,71,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",18,23,..,21,..,26,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",15,14,..,18,..,15,..,..,..,..,..
" ","Brugt sociale netværkstjenester",86,87,86,82,81,79,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,38,..,..,..,..,..
" ","Taget online kursus",17,27,22,14,..,11,..,..,..,..,..
" ","Brugt e-learning materiale",43,39,46,..,..,18,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",25,..,26,18,..,15,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",51,..,62,56,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",83,..,79,77,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",90,90,89,81,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",78,79,76,62,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,35,24,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",19,..,20,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",13,..,10,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",10,..,15,..,..,9,..,..,..,..,..
" ","Lytter til podcast uanset emne",55,..,50,..,..,..,..,..,..,..,..
"Region Midtjylland"
" ","Sende/modtage e-mail",94,96,96,94,95,94,95,..,90,85,88
" ","Søge infomation om varer mv.",89,86,92,86,90,82,88,78,83,80,82
" ","Services ifm. rejser mv",..,..,..,..,..,59,66,66,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,42,..
" ","Læse/downloade nyheder",85,83,88,83,..,84,71,65,72,65,72
" ","Jobsøgning",..,36,..,37,..,21,..,..,..,20,..
" ","Søge helbredsmæssig information",69,72,72,65,65,65,65,66,..,53,..
" ","Internetbank",93,94,95,92,90,89,89,86,83,80,81
" ","Salg af varer/tjenester",33,36,31,28,31,29,34,38,27,23,25
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,34,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,6,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,50,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,90,88,90,91,88,86,86,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",40,37,37,46,48,51,54,49,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,69,69,74,75,74,72,68,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",18,19,..,19,..,22,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",13,13,..,14,..,13,..,..,..,..,..
" ","Brugt sociale netværkstjenester",84,86,86,82,79,75,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,27,..,..,..,..,..
" ","Taget online kursus",14,20,14,11,..,8,..,..,..,..,..
" ","Brugt e-learning materiale",37,34,38,..,..,16,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",22,..,22,14,..,12,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",50,..,59,53,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",77,..,76,72,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",87,88,87,78,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",73,72,70,55,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,35,22,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",18,..,16,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,6,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",8,..,13,..,..,7,..,..,..,..,..
" ","Lytter til podcast uanset emne",43,..,40,..,..,..,..,..,..,..,..
"Region Nordjylland"
" ","Sende/modtage e-mail",91,95,93,93,93,91,92,..,87,85,81
" ","Søge infomation om varer mv.",88,82,87,83,86,74,83,70,78,78,77
" ","Services ifm. rejser mv",..,..,..,..,..,49,61,56,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,43,..
" ","Læse/downloade nyheder",85,83,82,81,..,79,67,60,70,68,66
" ","Jobsøgning",..,34,..,36,..,24,..,..,..,18,..
" ","Søge helbredsmæssig information",65,71,66,66,64,59,61,59,..,50,..
" ","Internetbank",93,94,92,91,89,84,86,77,79,80,73
" ","Salg af varer/tjenester",33,36,31,25,28,30,33,35,27,23,25
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,38,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,5,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,51,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,89,85,89,91,82,84,80,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",35,37,38,45,44,48,54,50,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,66,63,71,71,64,70,67,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",19,23,..,16,..,24,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",12,10,..,11,..,13,..,..,..,..,..
" ","Brugt sociale netværkstjenester",85,84,83,81,79,74,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,25,..,..,..,..,..
" ","Taget online kursus",15,19,15,8,..,8,..,..,..,..,..
" ","Brugt e-learning materiale",33,28,34,..,..,9,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",21,..,22,11,..,11,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",47,..,55,50,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",76,..,69,67,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",86,89,84,79,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",68,69,59,53,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,36,23,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",15,..,12,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",7,..,5,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",9,..,12,..,..,6,..,..,..,..,..
" ","Lytter til podcast uanset emne",31,..,29,..,..,..,..,..,..,..,..
"Region Sjælland"
" ","Sende/modtage e-mail",95,94,95,92,91,91,92,..,90,89,84
" ","Søge infomation om varer mv.",91,82,89,83,86,74,86,73,82,82,77
" ","Services ifm. rejser mv",..,..,..,..,..,49,60,63,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,48,..
" ","Læse/downloade nyheder",85,83,83,81,..,80,64,62,68,69,68
" ","Jobsøgning",..,30,..,30,..,20,..,..,..,24,..
" ","Søge helbredsmæssig information",71,73,70,64,65,60,62,62,..,54,..
" ","Internetbank",95,94,93,90,88,87,87,86,85,82,79
" ","Salg af varer/tjenester",33,29,29,28,30,26,33,32,25,24,19
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,44,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,6,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,55,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,89,87,89,86,83,85,86,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",39,34,36,45,42,50,51,51,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,67,63,71,70,66,69,68,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",20,20,..,20,..,21,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",12,12,..,13,..,13,..,..,..,..,..
" ","Brugt sociale netværkstjenester",85,84,83,77,77,69,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,24,..,..,..,..,..
" ","Taget online kursus",12,20,13,12,..,4,..,..,..,..,..
" ","Brugt e-learning materiale",28,28,32,..,..,9,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",16,..,19,12,..,10,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",50,..,57,49,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",73,..,71,65,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",86,87,86,72,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",71,67,65,52,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,34,20,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",16,..,13,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",11,..,10,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",8,..,10,..,..,6,..,..,..,..,..
" ","Lytter til podcast uanset emne",39,..,31,..,..,..,..,..,..,..,..
"Region Syddanmark"
" ","Sende/modtage e-mail",92,95,97,92,93,94,91,..,87,88,83
" ","Søge infomation om varer mv.",89,85,90,84,86,78,84,77,82,81,80
" ","Services ifm. rejser mv",..,..,..,..,..,56,60,64,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,45,..
" ","Læse/downloade nyheder",84,82,84,79,..,81,66,65,66,69,72
" ","Jobsøgning",..,32,..,34,..,23,..,..,..,18,..
