"Brug af internet til private formål - procent af befolkningen (16-74"
"år) efter type, formål og tid"

" "," ","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012"
" ","Internetbank",96,97,97,96,94,95,94,92,92,93,93
" ","Salg af varer/tjenester",39,42,37,34,37,35,45,50,34,34,34
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,58,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,9,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,76,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,94,94,94,93,91,91,91,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",33,37,37,44,42,50,55,52,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,75,77,80,80,78,79,78,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",20,22,..,21,..,29,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",15,15,..,19,..,18,..,..,..,..,..
" ","Brugt sociale netværkstjenester",93,95,96,94,92,92,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,42,..,..,..,..,..
" ","Taget online kursus",20,32,24,18,..,13,..,..,..,..,..
" ","Brugt e-learning materiale",48,42,55,..,..,21,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",29,..,32,22,..,21,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",58,..,69,64,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",93,..,94,92,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",95,97,95,93,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",85,87,85,69,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,39,28,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",23,..,21,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",13,..,9,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",16,..,20,..,..,12,..,..,..,..,..
" ","Lytter til podcast uanset emne",61,..,60,..,..,..,..,..,..,..,..
"Alder: 40-59 år"
" ","Sende/modtage e-mail",96,97,97,94,95,96,94,..,92,91,88
" ","Søge infomation om varer mv.",92,89,93,88,90,84,89,80,87,86,84
" ","Services ifm. rejser mv",..,..,..,..,..,67,71,72,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,43,..
" ","Læse/downloade nyheder",88,87,87,85,..,85,72,68,72,73,75
" ","Jobsøgning",..,37,..,39,..,22,..,..,..,21,..
" ","Søge helbredsmæssig information",72,79,73,68,67,66,65,68,..,56,..
" ","Internetbank",96,96,96,92,91,92,90,88,86,85,84
" ","Salg af varer/tjenester",36,37,37,32,33,32,36,37,28,22,24
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,38,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,6,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,51,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,93,92,92,91,91,88,89,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",44,42,44,53,52,59,60,58,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,72,69,79,74,76,74,72,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",21,22,..,22,..,26,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",13,13,..,15,..,13,..,..,..,..,..
" ","Brugt sociale netværkstjenester",87,86,86,80,80,76,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,35,..,..,..,..,..
" ","Taget online kursus",16,23,17,12,..,9,..,..,..,..,..
" ","Brugt e-learning materiale",35,33,34,..,..,13,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",21,..,17,10,..,8,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",51,..,60,52,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",79,..,75,70,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",89,89,88,78,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",72,70,68,55,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,39,24,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",17,..,18,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,9,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",6,..,10,..,..,6,..,..,..,..,..
" ","Lytter til podcast uanset emne",41,..,35,..,..,..,..,..,..,..,..
"Alder: 60-74 år"
" ","Sende/modtage e-mail",88,91,91,87,87,85,85,..,79,74,66
" ","Søge infomation om varer mv.",82,76,82,73,76,63,74,62,69,63,60
" ","Services ifm. rejser mv",..,..,..,..,..,47,56,54,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,26,..
" ","Læse/downloade nyheder",78,77,75,70,..,72,59,55,60,53,55
" ","Jobsøgning",..,9,..,9,..,5,..,..,..,3,..
" ","Søge helbredsmæssig information",58,67,60,55,57,48,52,50,..,40,..
" ","Internetbank",89,91,88,82,85,83,79,73,74,67,59
" ","Salg af varer/tjenester",17,20,17,15,17,15,19,17,12,12,11
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,12,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,3,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,27,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,85,80,83,84,78,76,75,..,..,..
