Type;Kategori;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Alder: 20-39 år;Sende/modtage e-mail;96;97;99;96;97;97;97;..;95;95;97
Alder: 20-39 år;Søge infomation om varer mv.;92;90;94;90;93;87;92;84;90;91;93
Alder: 20-39 år;Services ifm. rejser mv;..;..;..;..;..;60;69;71;..;..;..
Alder: 20-39 år;Downloade software;..;..;..;..;..;..;..;..;..;64;..
Alder: 20-39 år;Læse/downloade nyheder;90;89;91;88;..;90;76;73;79;80;83
Alder: 20-39 år;Jobsøgning;..;53;..;54;..;37;..;..;..;36;..
Alder: 20-39 år;Søge helbredsmæssig information;77;77;80;76;72;74;74;74;..;63;..
Alder: 20-39 år;Internetbank;96;97;97;96;94;95;94;92;92;93;93
Alder: 20-39 år;Salg af varer/tjenester;39;42;37;34;37;35;45;50;34;34;34
Alder: 20-39 år;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;58;..
Alder: 20-39 år;Følge online kursus;..;..;..;..;..;..;..;..;..;9;..
Alder: 20-39 år;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;76;..
Alder: 20-39 år;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
Alder: 20-39 år;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;94;94;94;93;91;91;91;..;..;..
Alder: 20-39 år;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;33;37;37;44;42;50;55;52;..;..;..
Alder: 20-39 år;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;75;77;80;80;78;79;78;..;..;..
Alder: 20-39 år;Delt/udtrykt egne holdinger på nettet;20;22;..;21;..;29;..;..;..;..;..
Alder: 20-39 år;Deltaget i online høringer/afstemninger;15;15;..;19;..;18;..;..;..;..;..
Alder: 20-39 år;Brugt sociale netværkstjenester;93;95;96;94;92;92;..;..;..;..;..
Alder: 20-39 år;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;42;..;..;..;..;..
Alder: 20-39 år;Taget online kursus;20;32;24;18;..;13;..;..;..;..;..
Alder: 20-39 år;Brugt e-learning materiale;48;42;55;..;..;21;..;..;..;..;..
Alder: 20-39 år;Kommunikeret med underviser/elev på websider/portaler;29;..;32;22;..;21;..;..;..;..;..
Alder: 20-39 år;Delt egne billeder, tekst, videoer, musik eller software;58;..;69;64;..;..;..;..;..;..;..
Alder: 20-39 år;Lyttet til musik via webradio eller streamingstjeneste;93;..;94;92;..;..;..;..;..;..;..
Alder: 20-39 år;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;95;97;95;93;..;..;..;..;..;..;..
Alder: 20-39 år;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;85;87;85;69;..;..;..;..;..;..;..
Alder: 20-39 år;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;39;28;..;..;..;..;..;..;..
Alder: 20-39 år;Brug af apps til at mindske madspild;23;..;21;..;..;..;..;..;..;..;..
Alder: 20-39 år;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;13;..;9;..;..;..;..;..;..;..;..
Alder: 20-39 år;Brug af dating apps eller hjemmesider;16;..;20;..;..;12;..;..;..;..;..
Alder: 20-39 år;Lytter til podcast uanset emne;61;..;60;..;..;..;..;..;..;..;..
Alder: 40-59 år;Sende/modtage e-mail;96;97;97;94;95;96;94;..;92;91;88
Alder: 40-59 år;Søge infomation om varer mv.;92;89;93;88;90;84;89;80;87;86;84
Alder: 40-59 år;Services ifm. rejser mv;..;..;..;..;..;67;71;72;..;..;..
Alder: 40-59 år;Downloade software;..;..;..;..;..;..;..;..;..;43;..
Alder: 40-59 år;Læse/downloade nyheder;88;87;87;85;..;85;72;68;72;73;75
Alder: 40-59 år;Jobsøgning;..;37;..;39;..;22;..;..;..;21;..
Alder: 40-59 år;Søge helbredsmæssig information;72;79;73;68;67;66;65;68;..;56;..
Alder: 40-59 år;Internetbank;96;96;96;92;91;92;90;88;86;85;84
Alder: 40-59 år;Salg af varer/tjenester;36;37;37;32;33;32;36;37;28;22;24
Alder: 40-59 år;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;38;..
Alder: 40-59 år;Følge online kursus;..;..;..;..;..;..;..;..;..;6;..
