Type;Kategori;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Højeste fuldførte uddannelse: Ungdomsuddannelse;Services ifm. rejser mv;..;..;..;..;..;59;68;68;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Downloade software;..;..;..;..;..;..;..;..;..;48;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Læse/downloade nyheder;87;87;87;83;..;84;72;67;75;72;75
Højeste fuldførte uddannelse: Ungdomsuddannelse;Jobsøgning;..;34;..;36;..;22;..;..;..;22;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Søge helbredsmæssig information;69;76;72;68;65;64;66;66;..;58;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Internetbank;96;96;96;92;92;93;91;88;88;88;84
Højeste fuldførte uddannelse: Ungdomsuddannelse;Salg af varer/tjenester;33;36;33;30;32;28;37;38;28;26;27
Højeste fuldførte uddannelse: Ungdomsuddannelse;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;39;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Følge online kursus;..;..;..;..;..;..;..;..;..;6;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;52;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;93;91;92;91;91;89;88;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;38;39;39;46;48;53;56;54;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;71;69;77;74;74;75;71;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Delt/udtrykt egne holdinger på nettet;18;19;..;17;..;22;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Deltaget i online høringer/afstemninger;11;12;..;13;..;12;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Brugt sociale netværkstjenester;85;86;85;80;78;75;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;29;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Taget online kursus;13;22;16;12;..;9;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Brugt e-learning materiale;32;30;35;..;..;13;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Kommunikeret med underviser/elev på websider/portaler;18;..;19;12;..;11;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Delt egne billeder, tekst, videoer, musik eller software;47;..;58;51;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Lyttet til musik via webradio eller streamingstjeneste;77;..;74;70;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;87;88;87;76;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;70;70;68;53;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;38;23;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Brug af apps til at mindske madspild;17;..;16;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;10;..;8;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Brug af dating apps eller hjemmesider;9;..;14;..;..;7;..;..;..;..;..
Højeste fuldførte uddannelse: Ungdomsuddannelse;Lytter til podcast uanset emne;40;..;35;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Sende/modtage e-mail;99;100;99;99;99;99;99;..;98;97;97
Højeste fuldførte uddannelse: Videregående uddannelse;Søge infomation om varer mv.;97;94;95;94;94;92;97;90;95;93;94
Højeste fuldførte uddannelse: Videregående uddannelse;Services ifm. rejser mv;..;..;..;..;..;76;84;84;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Downloade software;..;..;..;..;..;..;..;..;..;56;..
Højeste fuldførte uddannelse: Videregående uddannelse;Læse/downloade nyheder;94;94;93;92;..;93;85;83;86;85;86
Højeste fuldførte uddannelse: Videregående uddannelse;Jobsøgning;..;48;..;48;..;25;..;..;..;23;..
Højeste fuldførte uddannelse: Videregående uddannelse;Søge helbredsmæssig information;82;85;83;81;78;79;78;80;..;70;..
Højeste fuldførte uddannelse: Videregående uddannelse;Internetbank;99;98;98;96;95;97;97;95;94;93;93
Højeste fuldførte uddannelse: Videregående uddannelse;Salg af varer/tjenester;38;38;36;36;33;35;44;47;27;24;26
Højeste fuldførte uddannelse: Videregående uddannelse;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;46;..
Højeste fuldførte uddannelse: Videregående uddannelse;Følge online kursus;..;..;..;..;..;..;..;..;..;9;..
Højeste fuldførte uddannelse: Videregående uddannelse;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;76;..
Højeste fuldførte uddannelse: Videregående uddannelse;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;97;96;97;96;97;97;96;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;49;49;49;60;54;67;71;69;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;80;81;88;84;87;87;85;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Delt/udtrykt egne holdinger på nettet;19;21;..;24;..;28;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Deltaget i online høringer/afstemninger;18;17;..;21;..;18;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Brugt sociale netværkstjenester;91;91;89;87;85;83;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;49;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Taget online kursus;23;32;24;18;..;12;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Brugt e-learning materiale;48;46;49;..;..;19;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Kommunikeret med underviser/elev på websider/portaler;30;..;25;16;..;15;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Delt egne billeder, tekst, videoer, musik eller software;56;..;67;60;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Lyttet til musik via webradio eller streamingstjeneste;86;..;83;80;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;94;93;92;85;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;84;86;80;67;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;37;29;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Brug af apps til at mindske madspild;20;..;20;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;14;..;10;..;..;..;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Brug af dating apps eller hjemmesider;7;..;11;..;..;6;..;..;..;..;..
Højeste fuldførte uddannelse: Videregående uddannelse;Lytter til podcast uanset emne;60;..;56;..;..;..;..;..;..;..;..
